,comment,typeid,play,pic,subtitle,description,copyright,title,review,author,mid,created,length,video_review,aid,bvid,hide_click,is_pay,is_union_video,is_steins_gate,is_live_playback
30,163,171,54900,http://i2.hdslb.com/bfs/archive/6094e0336b12bc0eebf04a2f30dae3d43901f5f4.jpg,,【LPL夏季赛TOP5】8月21日：雷鸣电闪花火天牢引 幽影藏锋冷刃杀缭乱,1,【LPL夏季赛TOP5】8月21日：雷鸣电闪花火天牢引 幽影藏锋冷刃杀缭乱,0,哔哩哔哩英雄联盟赛事,50329118,1661094675,03:09,92,899633007,BV1nN4y1V7Es,False,0,0,0,0
31,7676,171,1000423,http://i1.hdslb.com/bfs/archive/f11c2a2778f28a7bfac19c7fb99d6f46d30c806d.jpg,,【2022LPL夏季赛】8月21日 V5 vs LNG,1,【2022LPL夏季赛】8月21日 V5 vs LNG,0,哔哩哔哩英雄联盟赛事,50329118,1661076891,284:07,12594,599663573,BV1TB4y1z7mK,False,0,0,0,0
32,437,171,100420,http://i2.hdslb.com/bfs/archive/9ee224afb2d109343b03ff0d8a19805883f4d131.jpg,,【LPL夏季赛TOP5】8月20日：狂沙猛攻禁军至 利刃剑舞破空斩,1,【LPL夏季赛TOP5】8月20日：狂沙猛攻禁军至 利刃剑舞破空斩,0,哔哩哔哩英雄联盟赛事,50329118,1661004061,04:11,314,729670875,BV1jS4y1W7xh,False,0,0,0,0
33,1941,171,254697,http://i0.hdslb.com/bfs/archive/75ed511f5fd7d347ab7c76211567d8be531a9cd1.jpg,,【LPL赛事速看】季后赛D5: EDG三比一淘汰RNG 晋级四强,1,【LPL赛事速看】季后赛D5: EDG三比一淘汰RNG 晋级四强,0,哔哩哔哩英雄联盟赛事,50329118,1661001810,14:47,1237,942229376,BV1yW4y1b716,False,0,0,0,0
34,15466,171,1668461,http://i1.hdslb.com/bfs/archive/f37dc05fa7476584b9a9a57491eefa6e5990d8e9.jpg,,【2022LPL夏季赛】季后赛 8月20日 RNG vs EDG,1,【2022LPL夏季赛】季后赛 8月20日 RNG vs EDG,0,哔哩哔哩英雄联盟赛事,50329118,1660989603,206:03,35956,984627757,BV1vt4y1J7V9,False,0,0,0,0
35,304,171,74174,http://i2.hdslb.com/bfs/archive/6243fb3f43656392536287706f65b7fff09a0d75.jpg,,【LPL夏季赛TOP5】8月19日：凛冬之怒极冰降寒狱 灵狐绕珠夺魄摄残魂,1,【LPL夏季赛TOP5】8月19日：凛冬之怒极冰降寒狱 灵狐绕珠夺魄摄残魂,0,哔哩哔哩英雄联盟赛事,50329118,1660919487,03:07,109,302191467,BV1BP411j7CZ,False,0,0,0,0
36,570,171,109499,http://i1.hdslb.com/bfs/archive/e2b0e6fb9c279f6c904087a6bf26f703eb06b0de.jpg,,【LPL赛事速看】季后赛D4:LNG势不可挡三比一击败WBG,1,【LPL赛事速看】季后赛D4:LNG势不可挡三比一击败WBG,0,哔哩哔哩英雄联盟赛事,50329118,1660918481,16:28,855,259682651,BV1ta411d7q1,False,0,0,0,0
37,10473,171,1045145,http://i0.hdslb.com/bfs/archive/9b0ea7ff39354fc67e75f142c30f5836bc69d3e8.jpg,,【2022LPL夏季赛】季后赛 8月19日 WBG vs LNG,1,【2022LPL夏季赛】季后赛 8月19日 WBG vs LNG,0,哔哩哔哩英雄联盟赛事,50329118,1660904544,250:45,17546,599640825,BV1SB4y1B7Pw,False,0,0,0,0
38,293,171,122564,http://i2.hdslb.com/bfs/archive/5089caeaadf966fd43796c924ad94e8838d779e9.jpg,,【LPL赛事速看】季后赛D3: EDG三比一淘汰FPX 晋级下一轮,1,【LPL赛事速看】季后赛D3: EDG三比一淘汰FPX  晋级下一轮,0,哔哩哔哩英雄联盟赛事,50329118,1660834965,20:57,720,899664010,BV1hN4y1V7KN,False,0,0,0,0
39,189,171,64232,http://i0.hdslb.com/bfs/archive/89fe4c136b38dc132c9cc74b9eb46ea7075c3af7.jpg,,【LPL夏季赛TOP5】8月18日：鳄霸战斧刃群雄 轮盘回旋奏凯歌,1,【LPL夏季赛TOP5】8月18日：鳄霸战斧刃群雄 轮盘回旋奏凯歌,0,哔哩哔哩英雄联盟赛事,50329118,1660832277,03:53,119,772174484,BV1P14y1t7WD,False,0,0,0,0
40,4103,171,854425,http://i0.hdslb.com/bfs/archive/747d39b5eb3d1beaad119fb1a8b0e16181dc45d0.jpg,,【2022LPL夏季赛】季后赛 8月18日 EDG vs FPX,1,【2022LPL夏季赛】季后赛 8月18日 EDG vs FPX,0,哔哩哔哩英雄联盟赛事,50329118,1660817790,253:54,11196,984625162,BV1vt4y1J76y,False,0,0,0,0
41,264,171,117327,http://i2.hdslb.com/bfs/archive/cc163fe30434f2b1a350f765fa0f3dcf6d11d3e6.jpg,,【LPL赛事速看】季后赛D2:LNG有惊无险三比一击败BLG,1,【LPL赛事速看】季后赛D2:LNG有惊无险三比一击败BLG,0,哔哩哔哩英雄联盟赛事,50329118,1660745514,17:58,575,344604454,BV1kd4y1P797,False,0,0,0,0
42,107,171,42721,http://i1.hdslb.com/bfs/archive/7442ef0c3ac3250401abf9dc9273d567ab9d5495.jpg,,【LPL夏季赛TOP5】8月17日：电光涌动雷鸣长空 怒兽猛踏地裂山崩,1,【LPL夏季赛TOP5】8月17日：电光涌动雷鸣长空 怒兽猛踏地裂山崩,0,哔哩哔哩英雄联盟赛事,50329118,1660745398,03:14,97,984592630,BV1Ht4y137Ji,False,0,0,0,0
