排名,球员名,出手数
339,扎诸纳斯-伊尔戈斯卡斯,4207
340,埃尔登-坎贝尔,4062
341,沃恩-米克尔森,3547
342,凯文-马丁,3847
343,雷-威廉姆斯,3962
344,汤姆-梅切里,3877
345,乔治-迈肯,3544
346,埃里克-戈登,3733
347,比尔-布拉德利,3927
348,迈克-米勒,4016
349,安芬尼-哈达威,3995
350,特里尔-布兰登,3908
351,乔夫-皮特里,3970
352,约翰-卢卡斯二世,3905
353,贾米尔-尼尔森,3790
354,雷克斯-查普曼,3716
355,J.J.雷迪克,3868
356,艾德-麦考雷,3742
357,韦斯-昂塞尔德,4369
358,汤姆-古格里奥塔,3871
359,泰隆·科宾,3918
360,大卫-李,4587
361,克莱伦斯-威瑟斯庞,4025
362,柯克-辛里奇,3503
363,埃迪-约翰逊,4015
364,菲尔-史密斯,4007
365,里基-戴维斯,3747
366,克里斯汀-莱特纳,4036
367,鲁西斯-阿伦,3884
368,唐-尼尔森,4017
369,韦斯利-马修斯,3546
370,P.J.-布朗,3852
371,大卫-汤普森,4213
372,马克-普莱斯,3939
373,马克斯尔-扎斯洛夫斯基,2854
374,肖恩-埃利奥特,3852
375,史蒂夫-弗朗西斯,3543
376,尼古拉-武切维奇,4120
377,约翰-戴维斯,3699
378,西德尼-蒙克利夫,4117
379,乔恩-麦克格洛克林,4001
380,Mahdi Abdul-Rahman,3597
381,赛尔吉-伊巴卡,4195
382,托尼-库克奇,3633
383,拉简-朗多,3723
384,伊塞亚-莱德尔,3583
385,马库斯-坎比,3767
386,赛达勒-斯瑞特,3914
387,德文-哈里斯,3486
388,德里克-麦凯,3908
389,迪坎贝-穆托姆博,4169
390,肯扬-马丁,3875
391,比利-奈特,4064
392,诺姆-范里尔,3313
393,罗德尼-罗杰斯,3608
394,汤姆-桑德斯,3416
395,泰瑞克-埃文斯,3510
396,沃恩-弗莱明,3964
397,马翰默德-劳夫,3514
398,蒂姆-托马斯,3458
399,特里-泰勒,3831
400,科特-托马斯,3836
401,迈克尔-亚当斯,3257
402,科勒姆-哈斯金斯,3515
403,托比亚斯-哈里斯,3681
404,伯瑞斯-迪奥,3805
405,杰夫-蒂格,3425
406,杰森-威廉姆斯,3065
407,肯-诺曼,3737
408,霍特-罗德-威廉姆斯,3688
409,贾莱特-杰克,3374
410,丹尼-格兰杰,3332
411,里基-格林,3594
412,林奇-亨特,2970
413,基斯-范霍恩,3396
414,霍华德-科密维斯,2972
415,吉姆-巴奈特,3326
416,内内-希拉里奥,4175
417,道格-克里斯蒂,3238
418,凯尔文-奈特,4003
419,乔治-亚德利,3193
420,乔治-麦克吉尼斯,3386
421,艾弗里-约翰逊,3622
422,吉姆-麦克米兰,3644
423,罗尼-塞卡利,3647
424,里克-福克斯,3382
425,埃迪-迈尔斯,3301
426,杰拉德-华莱士,3516
427,安德鲁-威金斯,3304
428,米切尔-雷-理查德森,3419
429,尼古拉斯-巴通姆,3245
430,路易斯-斯科拉,3669
431,格兰特-朗,3472
432,奈伊尔-约翰斯顿,3303
433,德鲁-古登,3432
434,道格-里弗斯,3295
435,莱昂德罗-巴博萨,3403
436,坎比-拉塞尔,3398
437,威尔森-钱德勒,3270
438,弗兰克-拉姆西,2949
439,C.J.迈克鲁姆,3353
440,戈登-海沃德,3323
441,简-文森特,3490
442,简-亨弗里斯,3502
443,迈克-班图姆,3446
444,昆廷-理查德森,2923
445,科利斯-威廉姆斯,3603
446,肯尼-史密斯,3527
447,拉蒙德-穆雷,3137
448,拉里-凯侬,3564
449,安托万-凯尔,3663
450,扬尼斯-阿德托昆博,3811
451,安东尼-皮勒,3101
452,吉姆-华盛顿,3253
453,泽尔莫-贝蒂,3396
454,卡尔伯特-钱尼,3366
455,斯拉特尔-马丁,2632
456,贝诺特-本杰明,3588
457,莱昂内尔-霍林斯,3201
458,萨姆-米切尔,3220
459,阿德里安-史密斯,3087
460,沃利-斯泽比亚克,3486
461,布拉德-多赫迪,3823
462,布拉德-米勒,3446
463,内特-威廉姆斯,3278
464,达纳-巴罗斯,3281
465,哈维-格兰特,3345
466,克里斯-莫里斯,3144
467,安东尼奥-戴维斯,3187
468,德尼斯-斯科特,2962
469,维恩-库珀,3242
470,布兰登-詹宁斯,2750
471,以赛亚-托马斯,3091
472,特里-蒂格,3295
473,拉里·德鲁,3308
474,拉里·科斯特洛,3095
475,哈里-盖拉汀,2810
476,科怀-伦纳德,3465
477,奥尔登-波利尼斯,3557
478,小安东尼-梅森,3583
479,吉米-巴特勒,3190
480,克里斯-卡曼,3432
481,C.J. Miles,2883
482,吉姆-琼恩斯,3280
483,沃尔特-威廉姆斯,2978
484,罗伊-斯帕罗,3264
485,罗德尼-麦克雷,3516
486,托尼-坎贝尔,3180
487,约翰-萨尔蒙斯,3007
488,艾森-伊利亚索瓦,3093
489,罗尼尔-谢尔顿,3416
490,达伦-科里森,3270
491,达尼罗-加里纳利,2960
492,埃里克-布莱索,3170
493,基斯-埃里克森,3014
494,尼克-杨,2894
495,马科-贝里内利,2932
496,谢尔曼-道格拉斯,3335
497,汤姆-古拉,2964
498,康尼尔-迪尔金,2867
499,Gar Heard,2846
500,克里斯-福特,3160
501,凯文-达克沃斯,3216
502,罗德尼-斯塔基,2904
503,普尔-理查德森,3046
504,阿尔尼-李森,2610
505,雷吉-威廉姆斯,2992
506,维斯里-珀森,3128
507,特里·狄辛格,3457
508,塞德里克-塞巴洛斯,3414
509,哈里森-巴恩斯,3051
