用户,转发数,评论数,点赞数,评论
今天也是善良的老王,0,0,0,jdg输的那一刻，比jdg更心碎的应该就是疼竞了。S8，IG夺冠续的气数，也快霍霍完了 
峡谷广播员,0,4,8,#wrl2# 0711这赵信惩戒捏的好紧，对面来抢龙丝毫不给机会啊#FPX击败JDG# 峡谷广播员的微博视频 
玩加电竞LOL,0,3,22,【JDG发布世界赛赛场返图】@JDG京东电子竞技俱乐部 ：再次翻阅每张照片依然能清晰感受到满满的热情，由衷地感谢很多不远千里赶到现场支持的小伙伴。还有那些即使凌晨也准时守在屏幕前，在心里、在弹幕里为我们加油鼓劲的每一个人。一起为共同热爱振臂高呼的感觉太棒啦！一路有你们同行，真 ...全文
JDG京东电子竞技俱乐部,23,102,906,【赛场集锦】「S12世界赛赛场返图Part 2」📷再次翻阅每张照片依然能清晰感受到满满的热情，由衷地感谢很多不远千里赶到现场支持的小伙伴。还有那些即使凌晨也准时守在屏幕前，在心里、在弹幕里为我们加油鼓劲的每一个人。一起为共同热爱振臂高呼的感觉太棒啦！一路有你们同行，真是太好了 ...全文
星光_凰,0,0,1,Ning出不来就算了吧，Theshy，Wei，Rookie，下路实力只要在JDG下路实力之上国产随便谁都可以。这个阵容我觉得还是可以期待一下的。顺便说一句，中单必须韩员，LPL3届S赛冠军中单都是韩员，到现在S12了，国产中单哪一个不是S赛拉夸，隐身？十年了，如果还执迷不悟，只能送一个字“蠢”英雄联盟 
小二电竞,1,2,39,某吧贴出知情人士爆料各战队转会情况！世界赛队伍转会信息似乎坐实！#英雄联盟#英雄联盟JDG确认全员再战一年！ 
筱筱兰蔻,0,0,0,#为LPL出征S12助威##酷睿i9，为超神而生#  @英特尔中国 希望今年JDG夺冠！JDG加油，为LPL拿下第四冠！从IG的夺冠，我就我相信LPL终于站起来了！加油，看好你们，相信你们还能延续传奇！！！ 
输入内容是空,0,1,1,今年春天是最想当队杂的时候我还记得去年转会期第一天队超嚎挂子走了第二天就喜迎彬的样子 整一个川剧变脸笑死有让二追三jdg 也有输ra we3:1胜决 3:2春决 半年bo5一个未输夺冠后解散的队伍才会有招魂的必要 会让人幻想如果没有分开的结局 
用户7752377422,0,1,3,faker对付berly选手最有效的方法，就是硬用操作灌死zeka其实不用慌，对于gank之类的faker是完全不虚的，操作上两者我不敢说，但意识上还是faker更胜一筹。上路我觉得不用担心了，drx无论是小组赛，淘汰赛里， tes，edg和geng上路都是不强的选手。反倒宙斯，和jdg的半决赛，kanavi就差附369身 ...全文
咻咻拳击手,0,0,0,#英雄联盟S12#CANYON男枪“一并超”，JDG负于DK进行加赛！  咻咻拳击手的微博视频 
