用户,转发数,评论数,点赞数,评论
-阿然入画c,1,0,1,EDG解散吧被贴吧的迷你飞和小老公笑得要死莫名被拉高的期待值哈哈哈希望新生不要让我们失望啊 
匿名人-,0,8,22,EDGcyku 这位名字怎么念啊 塞库吗 
小邹要成为notbad的人,0,2,22,EDGjrm来写EDG的英语阅读题了我写到的时候真是恨不得每一个单词都翻译出来 ，恨不得老师评讲的时候我直接帮老师讲 
熊啾啾ye,0,11,2,EDG蹲蹲大家的壁纸！！！ 
喜羊羊看了都说好,0,5,51,EDG亏贼，标准的edg脸 
21和你,0,8,85,EDG 哎呀，怎么还有人笑的这么甜呀，眼睛都笑成月牙啦 
玩加电竞-王者荣耀,3,19,125,【上海EDG.M人员变动公告】@上海EDGM王者荣耀分部 官宣：此前此前租借至@万臻Wz电子竞技俱乐部 的选手赵瑞（ID：上海EDGM.靖风）@上海EDGM靖风 正式回归上海EDG.M，将在接下来的日子里和大家共同备战世冠。 
风一样C哥,0,1,5,英雄联盟#超话创作官# 今年的总决赛，再也不会有去年的EDG牛逼，全民狂呼的字眼了，不过对于英雄联盟不见得是坏事。是T1摘得队史第四冠，飞科无敌成为最伟大的选手。还是DRX一黑到底，从附加赛打到冠军，史上最大的黑马。结果都不会让我们失望，反而成了真正玩家关心的赛事。#s12总决赛#  ...全文
你在玩个锤子,0,0,5,某些淀粉和莲杂就别整情怀了，想想EDG赢的比赛都是谁在C，你上野辅恶心中单的时候可不是这样的，Deft淘汰EDG的时候可一点都不心软啊，倒是莲男S8的时候碰上Deft连续送了几波温暖，赛后还跟多委屈一样抱着别人哭了，恶不恶心啊 
已注销用户追电派的日常,0,13,20,EDG 没有人注意cyku吗？ 
宇宙无敌超级无双呱,0,19,93,EDG你说万一二队拿了nest冠军怎么办 
用户jughead,0,3,28,EDG 这个小鱼不会也咬手指吧 
小红超能吃,0,22,135,EDG 眼镜仔就很EDG啊 
罗斯芙,0,0,1,#EDG官宣FISHER加入#冷知识，小鱼去年就被引援了 只是今年回来了而已 
鱼酱酱玉珏啊,0,3,1,EDG解散吧 纪念一下20年被疫情锁在家里疯狂上分的日子 
火烧屁屁了哦,0,4,2,EDG解散吧 这个赛季第一次吃鸡 
