用户,转发数,评论数,点赞数,评论
Clearlove一艾,0,1,0,EDG铁汁们看一下下吧#呼和浩特跳楼##呼和浩特疫情# 太心痛了啊卧槽他大爷 
_山野春藤,0,0,0,最近的快乐都是EDG给的还有许秀 
yummmhl,0,1,0,EDG 这136是哪几位小宝贝🥹🥹 
三水宁子,5,8,147,Scout 【Scout】去年决赛Elog里亲友团给edg各位选手加油视频（Scout妈妈加油 cut）                 🦊：妈妈老了                  jasper（语出惊人）：这还老 和我女朋友差不多（？）                  🦒：你这话有点问题（确实很有问题哈哈哈哈） 三水宁子的微博视频 
我叫JinX-,0,4,0,EDG哪里能收到jiejie签卡啊 
鳖鳖和龟,0,0,12,EDG室友说多大的人了，还买贴纸可是这是EDG耶 
青哥今天吃啥子,1,17,103,EDG既然这样，那我不藏了，给大家爆个料，edg除了赵宝其他都不续，因为都在准备冲刺23考研，per因为英语基本功好已经背上肖秀荣了，其他的都在🇺🇸补英语呢信我，我是真料，我一个朋友的同学的发小天天在他们床底下躺着听的真真的 ...全文
小摆不算摆7,7,76,232,EDG我一点也不想他 
你说什么饼干_,0,0,0,你会看到的吧，EDG真的很棒，他们夺冠了。奖杯和戒指都很酷，我当时就在想，要是你能多留几天看到他们夺冠肯定会很激动的吧，我相信你能感受到的，你能感受到这份力量的 
我可能脾气不太好O,0,0,1,viper知道自己最近这么火吗？看这些爆料，感觉有人给到贤安了监听，或者就是到贤的知己好友……是走是留 都是选手很正常的个人选择 这个选择需要综合考虑的应该很多 改变是一件好事 viper确实很优秀 但是如果留不住 我也很期待edg新的阵容 这个转会期真是迷雾重重啊 
wYw嗯,2,236,1290,EDG怎滴，选手亲口告诉你的？整天跟个村口碎嘴八婆一样，晦气… 
雨摆摆不摆了,0,4,18,EDG 艹 本来不打算看决赛的，猪猪头子居然去了那我还是爬起来看吧 
碳水天使馍馍酱,0,0,2,说来说去最恶心的就是你edg这几个商人 
请别发现我,0,0,3,最开心的事情就是因为lol和edg认识太多好朋友了 
没什么就这样了,1,6,41,EDG_jiejie一些幼年小菇(想小菇) 
EDG商城小二,27,190,898,【EDG概念笔记本】336 pages 今日开始预售EDG 
EDG-viper3,0,2,16,EDG 我一刷到去年夺冠的视频就想哭 真的仿佛夺冠就在不久前 现实中竟然已经差不多过了一年 时光匆匆 那五个少年 慢点走 
小福泥有兔耳朵,0,20,113,EDG电啊，你是懂赚钱的 
HXRYJY,7,92,527,EDG 怎么感觉现在这样的风向，viper到时候他不留下就会有人说他根本不喜欢lpl啥的，就算留下也会有人跑出来说他就是为了钱什么的呀到贤好惨，啥也没说呢就做什么决定都不对了～不要被带跑了呀xdm 
弹吉他的猫798,0,0,2,没想到已经过了一年了，一年前的晚上，大家都高喊着edg牛逼，是发自肺腑的高兴，不过那天晚上我们吵架了，因为我没有遵守承诺没有每天打视频。我计划只看前三把比赛，后面两把不看了，可还是没有打到视频，现在已经不重要了。后来我才明白，吵架的时候还出去吃饭，给对方会造成多大的困扰，对一年前的 ...全文
Eleven十一君,0,1,1,EDG 绝了，刚打了一把对面是卡牌、岩雀、加里奥的游戏，岩雀先飞过来，卡牌再飞过来，再带进来个加里奥……被四包二了N次……究极坐牢局😢 
猛男寨21号黑暗剑,0,21,97,EDG他说的真有人信啊？能说出税后4500w的，确定不是nt？税后4500w，税前8200w左右哦，不会是日元吗？ 
一只在瓜田蹦迪的猹,0,7,33,EDG峡谷天天的vlog电含量过高 
忙碌的九宝,0,0,6,EDG找个BGM都是perper子 
就算没有月亮,0,0,2,刚才停电了 早早上了床 打开抖音 “去年陪你看EDG的人现在还在你身边吗” … 哎 会有好结果的 
忙碌的九宝,0,0,6,EDG找个BGM都是perper子 
就算没有月亮,0,0,2,刚才停电了 早早上了床 打开抖音 “去年陪你看EDG的人现在还在你身边吗” … 哎 会有好结果的 
露露emo版,0,23,12,EDG解散吧 给各位看看猫猫吧 
香草味扇贝o,0,5,3,越来越觉得edg的操作有点让viper陷入一个尴尬的境地…但愿最后不管做什么选择都不要受到舆论影响 跟着自己的心走吧 
没你可,0,2,22,EDG本来不行看的，猪猪头子在，那就看 
从小暗恋三玖,0,9,32,EDG排到viper了 他跟我说转KPL打辅助去了 
樊星璀璨·JH·C,0,6,4,从大主播的爆料来看，edg根本没开出2倍的合同吧给viper…….爆料是指大主播说lck有很多好选择给viper。要是2倍我直接签了 
我再吃半碗饭,0,6,37,EDG7……77……7！ 
Leeyechan314,0,0,24,EDG 来看看小馍吧 Leeyechan314的微博视频 
我再吃半碗饭,0,6,37,EDG7……77……7！ 
Leeyechan314,0,0,24,EDG 来看看小馍吧 Leeyechan314的微博视频 
门泊东吴N,0,23,9,EDG有的人活着，他的肩颈椎脊椎腰已经死了。求推荐一下腰疼颈椎疼好物 
riko凃,0,13,73,EDG梦见到贤请我喝德克士西八水……艹 
欠你一笑还你一生眼泪,0,0,0,再也没有类似EDG夺冠这样的事件给我一个愉快的心境了家里，回家真的好累啊，我已经完全不想回家了，也不想住宿舍，如果我坚持继续打游戏也许就不会这么不开心了吧看到武汉火车站案件的相关介绍，我自己也是因为一句话就容易起火气的状态害怕，迷茫，彷徨，我的神啊，赐我一颗强大的内心吧 
不吃香菜的开膛手,0,5,12,EDG 排到了个成分复杂的id 
杏文老顽童,0,10,0,EDG 手机怎么才能屏蔽转会期的所有掰扯 我眼睛接受不le 
搞笑二娘,103,1,120,#陈卓璇WRL舞台首秀##WBG对阵EDG#绝对不能错过这么精彩的赛事，还能看到我陈姐的舞台首秀，我康康是谁已经按捺不住啦？ 
也无风雨也无情79460,0,22,225,EDGedg连续两年进入决赛，猪猪头子真帅啊 
