用户,转发数,评论数,点赞数,评论
玩加电竞LOL,0,20,60,【2022全球总决赛淘汰赛 战队&amp;英雄最数据】最高一血率：RGE &amp; RNG &amp; DRX最高峡谷先锋控制率：JDG最高小龙控制率：RGE最高一塔率：DK最高纳什男爵控制率：T1最高血腥程度：T1最高Ban率英雄：悠米 &amp; 凯特琳最高Pick率英雄：佛耶戈最高胜率英雄：千珏 &amp; 永恩#S12淘汰赛# #英雄联盟S12# 
琴女你怎么骂人啊,0,6,5,NEST2022英雄联盟线上预选赛选手名单队伍分组：A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX预选赛赛程：2022年11月10日至11月15日英雄联盟#NEST2022# 
吐槽帝逍遥先森,0,0,1,#酷爽冬游季##游戏先锋团##s12竞燃有我# 【2022全球总决赛淘汰赛 选手最数据】最多单杀：DRX.Zeka最高分均伤害：EDG.Scout最高场均参团率：DRX.BeryL最高场均对线经济差：DK.Canyon最高分均补刀：RNG.GALA最高场均视野得分：RNG.Ming 
很孤独的宇,0,18,11,rng大千世界无奇不有 
虚假的二十二_OuO,0,0,0,rng两家抢打野和ad的对手退出了，目前看来。就剩wbg了，白星，你的米呢？能不能给力点啊！另外评论区有人说桃的管理好像谈了韩援才回来的 
真的很遗憾呀,0,1,4,rng 多少岁不重要.平平安安才重要.又长大一岁，生日快乐 
bitchAAA,0,13,17,rng为什么会有预售这种售货方式出现在市场上啊，这是什么时候开始的，又从什么地方学来的啊，真的好离谱啊 
直播吧电竞,0,0,2,#NEST2022# NEST2022英雄联盟线上预选赛即将于11月10日与大家见面，当序幕拉开，英雄登场，将会呈现怎样的精彩？预选赛赛程：2022年11月10日至11月15日 队伍分组：A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX赛制：14支队伍随机分 ...全文
丨李知恩呐丨,0,7,0,rng装个收纳箱都能被刀🥀🥀🥀 
沐浠zy,0,1,14,rng最近看很多人在怀念21年的皇，不过我最喜欢的还是18年的8个人那个“小狗终于拿到了他六年以来第一个lpl的冠军”的RNG那个“IG只要打团，RNG就能翻”的RNG那个“著名上单说过，四个中国人赢不了，但五个中国人肯定能赢”的RNG那个“有如此双c，夫复何求”的RNG那个“解说不会打的团，RN ...全文
HopingLilac花,0,0,0,rnglol界面不能改个签了吗 
依旧是小迷茫,0,0,0,rng这些新人不会就是浮生天天带去跟姿态玩的那批吧。难怪除了汤圆和xiaoxu都能认出来。其他人都不认识 
RNG加油永不言弃,0,1,9,rng大校说了，T13-0最多3-1拿下DRX我恍惚着有映像那一把了 
好喜欢嘻嘻嘻呀,0,0,0,就rng和edg两个不见了的队上全二队，乐了 
Konan宇,1,34,66,〖刀圈地震〗第一弹Xnova，Ghost离开RNGATF离开OGYopaj离开BoomDubu离开TSMKpii，hyde离开Talon新BC：c.smile和wisper离队，Darkmago和sacred加入，其余阵容不变BB解散JT离开IG#dota2# 
杏辞,0,0,2,rng午觉梦到我软了哈哈哈哈哈哈哈太离谱以至于我特地记了下来 
嘟嘟Dudu_一直期待着,0,1,5,今天从徐汇滨江走到了黄浦滨江，上次从黄浦滨江走到了杨浦滨江。立志走遍黄浦江边的女人！以及，看到了传说中rng的那个主场，转眼间我R都快解散了 上海·南园滨江绿地 
软泥熊想看金色的雨,0,0,0,rng就在今年！ 
冬天才去跳海,0,2,7,rng Ok 宿舍养狗成功 
游戏红人社,45,55,128,随着S12LPL战队全部淘汰，LPL转会期提前，冬转消息一览：1、顶尖ad的抢手程度依次为：viper、gala、light、lwx、huanfeng；2、最抢手的中单是scout，最抢手的国产中单是xiaohu，yagao完全不用担心，rookie可能要等一下其他的人；3、RNG除开呼吸哥，其余队员可能全部离队，wei和gala是最抢手的选手 ...全文
游戏大妹子吖,0,0,0,发布了头条文章：《Doinb出来爆料转会内幕，RNG战队重建，只剩一人留队》  Doinb出来爆料转会内幕，RNG战队重建，只剩一人留队 
我不应该出现zzz,0,56,178,rng 如果说 我说如果 中野下辅 就算都走了的话 我还是会支持RNG 不为别的 就是因为你是RNG 是我支持7年之久的RNG 没办法 心就这么小 装不下第二个战队 虽然我很喜欢虎明… 当然 我也不排斥虎明去别的战队 谁不想有更好的发展和赚钱呢 
