用户,转发数,评论数,点赞数,评论
丿连风也温柔,0,25,32,Uzi 税后4500W，税前8100W，jkl和左手工资差不多，这个人说的这些话，谁信谁傻子，搞笑呢，tes一年薪资支出一个多亿？纯说话不过脑子。 
电竞主页君,0,1,4,前V5教练，现选手经纪人透露了一些转会信息：Jackeylove续约TES，朱开回EDG了随着S12世界赛临近结束，2022年冬季转会也成为了多方关注的焦点，而就在今早，前V5教练，现在转行成为选手经纪人的涵艺在个人WB上晒出了不少转会信息，其中Jackeylove留在了TES，RNG的朱开回EDG了，gala和wei留不住，FPX可 ...全文
艾卡西亚的季风,0,0,0,WBG击败了S赛冠军V5击败了MSI冠军TES击败了TT#S12世界赛##LPL# 艾卡西亚的季风的微博视频 
注视一只黑鸟的十三种方式,0,2,1,？我命中犯电竞，搜蓝甲虫搜到石甲虫和蓝buff，搜火风暴搜到风暴要火，搜金色先锋出来守望先锋金色武器，搜杰克奈特会搜出来tes？嗯？嗯嗯？？ 
DYG王者荣耀分部,4,43,122,DYG奥力给#荣耀杯s5# 【深圳DYG荣耀杯今日赛果】深圳DYG VS 长沙TES.A    3：2今日赛果如下，崽子们继续冲冲冲！！我们的下一场比赛在11月7日，各位i缸记得准时收看哦～#巅峰之路 勇无边界# 
移粒是一名开心砖家·,1,6,12,过生日也有始有终吧，能赶着时间寄去的都可以寄去。不管明年在不在，从进入tes开始，文波就一直是最大功臣是tes队史最不能忽视的存在，没道理功臣的生日是在这个节点草草了事，就要体面地过开心地过 
暴龙电竞,4,103,514,【@丶涵艺 爆料LPL转会消息】朱开回EDG TheShy续约 SofM离队 FPX大换血Tes: AD续约 其他不知情V5：大概保留班底 补强上野位RNG：射野大概留不住 教练回EDG了EDG：JDG：WBG：单人线续约 换打野 补AD 辅助不知道 LNG：没太了解 AD留不住 辅助俩都到期 上路想续约还没聊  ...全文
用户___38482382488348,0,2,0,last炫神大伙，明早八点起来看总决赛了，全华班的对抗，RNG VS TES，龟龟我宣布S12是所有S赛里最有含金量的总决赛，今晚都别睡，给我好好观赛就完事了，我滴全华班🤩🤩 
听风无忧啊,0,7,2,TES进世界赛的一年LPL必不夺冠！ 
赛博隐居人自说自话,3,1,31,"2432 【投稿】Tes soupirs me dérangent, 你的叹息打扰了我，Et seul l'horizon chante, 只有地平线在唱歌，D'un air triste, 带着悲伤的表情，Tu es parti pour l'orage, 你为暴风雨而去。 "
致竞荣耀,0,0,8,【长沙TES.A vs 南京Hero久竞 第四局BP】#荣耀杯S5# 
别质疑先相信,0,2,0,Rookie帅哥要是一斤哥去tes 大火支持么？或者说是上策么？ 
艾卡西亚的季风,0,0,3,德玛西亚杯FPX击败TES第一局 ，lwx：不装了，我是冠军AD我摊牌了#英雄联盟##LOL# 艾卡西亚的季风的微博视频 
电竞主页君,1,7,13,理性分析下，LPL市面上两个至臻全华班的优劣！第一个全华班也是以blg为班底的全华班bin wei 左手 gala lqs第二个全华班底是以tes为班底的，圣枪 tian xiaohu jk ming第一个全华班在我看来，游戏前期就是三个外塔还在的情况下很猛，理由是对线还可以，lqs和wei擅长的就是小规模游走团战联动，一旦破 ...全文
虎扑电竞,0,31,49,"【2022NEST即将开赛：14支LPL战队参加线上预选赛，前八晋级】N﻿EST官方宣布2022NEST英雄联盟线上预选赛正式开赛，包括AL, BLG, EDG, FPX, iG, JDG, LGD, LNG, OMG, RNG, TES, TT, UP和WE共14支LPL战队出战。原文如下：英雄出，擂鼓声声，赛场现真章竞高下，战火熊熊，桂冠重几何11月10日-11 ...全文"
靠谱电竞,1,25,62,你认为今年哪场对决最可惜？A：T1 vs RNGB：DRX vs EDGC：GEN vs DKD：GAM vs TES#2022全球总决赛##英雄联盟S12# 靠谱电竞的微博视频 
我还知道玩,0,0,0,#英雄联盟##LPL#真实锐评LPL赛区老年化：是否需要为这次世界赛买单？ 我还知道玩的微博视频 
La-Reine-Rouge,0,0,1,Vous êtes toujours là. Je me suis perdue. 
少根筋小姐啊,0,1,0,#为LPL出征S12助威##酷睿i9，为超神而生#  @英特尔中国 让我们一起为四支队伍加油呐喊，期待可以为 LPL捧回第四座冠军奖杯，相信LPL就是ONE&amp;ONLY唯一的天选！一号种子JDG二号种子 TES三号种子 EDG四号种子 RNG加油加油！！！！ 
兔玩游戏,0,7,29,@桃浦小话筒 分享照片猫狗大联盟公益活动返图来咯~参加公益活动的Xiaopeng和Zhuo#TES公益行动##英雄联盟# 
疾风怪宝,2,57,116,放点转会期四个进世界赛队伍的瓜，内部有可靠线人，应该对的七七八八 #Wink状态# JDG：369要么续约要么不续约卡哪位要么续约要么不续约Yagao要么续约要么不续约Hope要么续约要么不续约Missing要么续约要么不续约TES：Wayward要么续约要么不续约Tian要么续约要么不续约Knight要么续约要么不续 ...全文
艾卡西亚的季风,0,0,0,TES又被偷家了，TES：有再一再二，就可以有再三再四#英雄联盟##LOL# 艾卡西亚的季风的微博视频 
k9卓定是神,0,0,3,其实期待一手小虎加盟tes，他的加里奥冰女那么厉害，冰冰粉丝一定很爱吧，求求小虎让knight学一学怎么保ad并且不k。 
斗鱼王者荣耀君,3,32,54,#荣耀杯S5# 小组赛DAY6 黑肉首战TES17:00 @西安WE王者荣耀 vs @厦门VG王者荣耀19:30 @南京hero久竞 vs @滔搏电竞王者荣耀分部 今日看点：今日是黑肉在荣耀杯上的第一次亮相，能否拿下首胜？WE更换中单、射手，谁能打出精彩表现坐稳首发？更多精彩，点击下方直播，我们不见不散~   ...全文
甜甜野兔QAQ,0,1,0,tes48饭堂出Tian新生 
甜甜野兔QAQ,0,4,0,tes48饭堂凭澜 jkl2000杀纪念改地址 
-OMNIVORES-,0,0,0,TES这屁桃气泡怎么这么多人用，甚至大多数都是不关注lpl的 
-OMNIVORES-,0,0,0,TES这屁桃气泡怎么这么多人用，甚至大多数都是不关注lpl的 
召唤师Park,35,47,464,极IG夺冠四周年啦！在FPX、EDG捧杯前，IG众将在仁川登峰造极境。那一年Duke、Theshy、Rookie、Ning、Jackeylove、Baolan并肩战斗，甚至能够将Deft领衔的LCK一号种子KT斩落马下。时过境迁，如今IG冠军阵容早已支离破碎，Theshy被曝与WBG续约，Jackeylove早已与TES续约，V5义进哥Rookie去留存疑，同时 ...全文
ddZdydydg,0,3,9,啊啊啊啊啊啊啊一想到k如果要离开tes就巨开心，以后k打比赛赢了不用还要和某人粉丝车轱辘mvp了，也不需要时刻担心某人自信的乱送还要被吹是伟大的性格了，即使是输比赛，也不用第一时间各大论坛被甩锅了，想想就好爽，可以真真正正开开心心的看比赛了，我不指望啥银河战舰，就希望队友都是踏踏实 ...全文
我还知道玩,0,0,0,#英雄联盟##LPL#饭堂众人开团“LPL不玩女警”真实原因：焕烽称赞faker，TES刚回国就遭重！ 我还知道玩的微博视频 
电竞小小徐,55,383,2560,LPL转会期又爆瓜：TES疑似下批7000w，让郭皓浩去买选手，中单目前计划买Rookie，RNG改名为Dyg。#英雄联盟# #英雄联盟S12# 
长沙滔搏丶苏沫,0,17,118,#TES公益行动# 狗勾护卫队体验卡滴滴还带我黑哥走了个秀 希望大家多多关注流浪猫狗领养活动 给可爱的它们一个家 
蛋糕不吃我打包,0,9,12,TOP_ESPORTS tes哥我求你 
游戏主播酱,29,34,357,LPL曝料人再次曝料：TES Tian离队续约都有可能，但是不可能会是WBG Tian。#英雄联盟# #英雄联盟S12# 
295_953_547_35_258,0,0,0,#为LPL出征S12助威##酷睿i9，为超神而生#  @英特尔中国 rng成为lpl最后一个种子为国出征，今年lpl相当精彩了，队伍之间三次双杀，15场Bo5只有两场零封，真的是把把拉满，出线的四支队伍jdg tes edg rng和当初预测的一样代表着lpl最强战力，希望今年可以继续把冠军留在lpl，留在中国，此志无双！ ...全文
SweetSung9095,0,2,2,不过说真的，我也没敢有太大期望，毕竟这个小猪脑袋去年能做出降薪留tes的决策。 
长沙滔搏丶小鹏,1,10,107,#TES公益行动# 在流浪狗狗摊位当了一个下午志愿者 玩得很开心如果家人们能带几只回家就更开心了 
靠谱电竞,2,24,98,你觉得以下哪支队伍最不甘？A：2021 FPXB：2022 TESC：2019 GRFD：2016 ROX Tiger#2022全球总决赛##英雄联盟S12# 靠谱电竞的微博视频 
电竞发言人bot,128,161,639,【369亮TES队标，左手感慨：最近每天跟他聊天!】TES早早淘汰，JDG则打进四强，这段时间一直有人玩梗：洗369的下个赛季去你主队。还有JDG打T1之前，大家都打趣369：无所谓，我会出手。因为JackeyLove的缘故，一直有人拿369当“工具人”，借此指责JackeyLove乃至于整个TES。实际上，TES选手至少左手 ...全文
河西陌路_抱着艾因养老中,0,0,0,不行就销户吧你说呢tes 
滔搏电竞王者荣耀分部,3,12,54,【猫狗大联盟小动物返图】再单独发一组小动物图，真的太可爱太治愈啦，希望能给看到的各位带去一些温暖滔搏电竞俱乐部王者荣耀 #TES公益行动# 
不爱起床的中年人,0,0,1,英雄联盟 TES Ming！！！ 
滔搏电子竞技俱乐部,24,125,1519,#TES公益行动#前方高萌！可爱多出没请注意点开视频解锁宠物领养日志愿者一日体验，来和@滔搏zhuo @Xiaopeng1201 一起传递爱心，以领养代替购买，为流浪的猫猫狗狗找到一个温暖的家#搏至无憾# 滔搏电子竞技俱乐部的微博视频 
不爱起床的中年人,0,0,1,英雄联盟 TES Ming！！！ 
滔搏电子竞技俱乐部,24,125,1519,#TES公益行动#前方高萌！可爱多出没请注意点开视频解锁宠物领养日志愿者一日体验，来和@滔搏zhuo @Xiaopeng1201 一起传递爱心，以领养代替购买，为流浪的猫猫狗狗找到一个温暖的家#搏至无憾# 滔搏电子竞技俱乐部的微博视频 
丰神俊朗好少年,0,0,1,转会期的RNG和TES.......我的愿望是...... 
电竞赛事大围观,0,0,0,#LOL##LPL#有Theshy的比赛都很无聊，TES的比赛就是看杰克什么时候接Q。 电竞赛事大围观的微博视频 
滔搏电竞王者荣耀分部,5,37,95,【猫狗大联盟公益活动返图】每个生命都值得爱护希望大家一起多关注流浪小动物，让领养代替购买。滔搏电竞俱乐部王者荣耀 #TES公益行动# 
只想逃避的胆小鬼,0,0,5,不行了自从脑子里有了tes.小虎这个念头我就不太能接受其他选择了郭皓，拥有海量滔搏十年老粉的机会就在眼前，求您，这次真的求您 
